"X","miRNA","YRNA","tsRNA","rsRNA","snoRNA","lincRNA","mRNA","other"
17,90915.9171597633,90093.6035502959,8460.60946745562,112079.911242604,4026.54437869823,1835.7573964497,11406.224852071,8646.68047337278
18,179079.976331361,51682.5443786982,6224.49112426035,182101.615384615,6759.65680473373,1474.81065088757,8110,9452.96449704142
19,376039.065088757,5234.78106508876,3252.34319526627,51682.7278106509,7837.10059171598,1561.79881656805,7172.87573964497,16185.5798816568
20,657480.136094675,5522.98224852071,2729.29585798817,33077.1065088757,851.331360946746,1828.65088757396,7374.78698224852,30206.449704142
21,2045296.75739645,10450.9289940828,2138.56804733728,27498.5976331361,3128.44378698225,1026.79881656805,7454.91715976331,15925.3905325444
22,3422114.38461538,33233.2366863905,1808.49112426036,22597.5917159763,896.585798816568,543.041420118343,5904.79289940828,13000.2485207101
23,585665.319526627,20982.5325443787,1996.27218934911,21000.9585798817,2889.49112426035,812.289940828402,6141.67455621302,10405.573964497
24,196226.207100592,20012.1538461538,2575.92307692308,14726.6390532544,536.295857988166,214.656804733728,3250.85207100592,24927.8934911243
25,1160.05917159763,36113.875739645,2370,10537.0118343195,135.834319526627,213.970414201183,2332.97633136095,5858.81065088757
26,193.360946745562,165683.650887574,1348.91715976331,8612.31360946746,295.07100591716,186.775147928994,1576.28402366864,8168.95857988166
27,34.207100591716,570674.195266272,1119.2899408284,5330.72189349112,1642.37278106509,139.852071005917,1079.76331360947,6609.70414201183
28,0.0828402366863905,108050.094674556,1910.17159763314,3623.45562130177,126.384615384615,100.396449704142,707.171597633136,3121.94674556213
29,0,209944.50295858,2740.43786982249,3233.2426035503,70.7218934911243,63.9585798816568,560.455621301775,2849.08875739645
30,0.106508875739645,137857.053254438,19172.449704142,2610.85798816568,35.7810650887574,46.8224852071006,315.14201183432,2904.21893491124
31,0,205832.863905325,20543.2130177515,3082.14792899408,22.1242603550296,150.426035502959,192.443786982249,983.396449704142
32,0,274975.485207101,44562.1538461538,1123.57396449704,8.92307692307692,88.6745562130178,146.704142011834,874.047337278107
33,0,54661.6686390533,30401.1775147929,1069.54437869822,13.9408284023669,96.0591715976331,90.396449704142,460.940828402367
34,0,7524.16568047337,2480.43786982249,969.153846153846,5.17159763313609,14.6863905325444,63.4082840236686,613.680473372781
35,0,1819.85207100592,2994.87573964497,2681.53846153846,2.42011834319527,6.71597633136095,43.3609467455621,607.360946745562
36,0,8352.89940828402,221.544378698225,1344.73964497041,2.05917159763314,2.44378698224852,30.9171597633136,463.01775147929
37,0,876.041420118343,47.5562130177515,1220.69230769231,3.84023668639053,1.21301775147929,23.905325443787,24.8639053254438
38,0,383.976331360947,22.5680473372781,157.710059171598,1.05325443786982,0.863905325443787,15.5798816568047,42.0177514792899
39,0,847.656804733728,10.3727810650888,90.301775147929,0.698224852071006,0.615384615384615,9.97633136094675,45.207100591716
40,0,121.485207100592,11.508875739645,99.2544378698225,0.745562130177515,0.420118343195266,6.23668639053254,31.8994082840237
41,0,10.9171597633136,9.96449704142012,69.4437869822485,0.27810650887574,0.21301775147929,4.48520710059172,11.3727810650888
42,0,6.30769230769231,5.02366863905325,37.4733727810651,0.153846153846154,0.224852071005917,3.07692307692308,3.78698224852071
43,0,6.2189349112426,3.66272189349112,24.5562130177515,0.0946745562130177,0.14792899408284,1.89349112426035,4.25443786982249
44,0,3.06508875739645,1.90532544378698,9.28994082840237,0.118343195266272,0.0769230769230769,1.3491124260355,1.83431952662722
45,0,2.64880952380952,1.25,8.00595238095238,0.101190476190476,0.107142857142857,0.970238095238095,1
46,0,2.75,1.26785714285714,5.82738095238095,0.0654761904761905,0.0416666666666667,0.958333333333333,0.863095238095238
47,0,0.804878048780488,0.768292682926829,5.93292682926829,0.0548780487804878,0.0609756097560976,0.713414634146341,0.378048780487805
48,0,0.327272727272727,0.963636363636364,4.18181818181818,0.0666666666666667,0.0424242424242424,0.63030303030303,0.490909090909091
49,0,0.322784810126582,0.746835443037975,2.4493670886076,0.0379746835443038,0.0379746835443038,0.626582278481013,0.468354430379747
50,0,0.212121212121212,1.06060606060606,2.75151515151515,0.0424242424242424,0.0484848484848485,0.448484848484848,0.418181818181818
51,0,0.327380952380952,5.72619047619048,5.38095238095238,0.0416666666666667,0.00595238095238095,0.56547619047619,0.452380952380952
52,0,0.266272189349112,28.4023668639053,1.4792899408284,0.0532544378698225,0.0414201183431953,0.585798816568047,0.479289940828402
53,0,0.964285714285714,11.1904761904762,2.11309523809524,0.0595238095238095,0.0714285714285714,0.416666666666667,0.541666666666667
54,0,1.94047619047619,7.08333333333333,4.64285714285714,0.0119047619047619,0.0119047619047619,0.494047619047619,0.595238095238095
55,0,0.846625766871166,0.411042944785276,2.71779141104294,0.0122699386503067,0.0368098159509202,0.515337423312883,0.638036809815951
56,0,0.462585034013605,0.374149659863946,1.82312925170068,0.054421768707483,0.0272108843537415,0.462585034013605,0.680272108843537
57,0,0.5,0.414634146341463,3.64634146341463,0.0365853658536585,0.024390243902439,0.359756097560976,0.347560975609756
58,0,1.55621301775148,0.142011834319527,15.3550295857988,0.136094674556213,0.0177514792899408,0.284023668639053,0.384615384615385
59,0,0.753012048192771,0.150602409638554,5.10240963855422,1.36144578313253,0.0120481927710843,0.313253012048193,1.2289156626506
60,0,1.8,0.0727272727272727,2.37575757575758,0.515151515151515,0.0121212121212121,0.4,0.763636363636364
