"","sample","useful","yrna","group"
"1","N.C1",90.3137789573475,33.3197046102179,"Ctrl"
"2","N.C1.sg",82.3203583373564,11.6129492117181,"Treat"
"3","N.C11",88.920932686926,33.5362810924111,"Ctrl"
"4","N.C11.sg",82.1919021342097,14.9672705240812,"Treat"
"5","N.C3",75.6296347034511,15.3039694695179,"Ctrl"
"6","N.C3.sg",74.2568350560842,5.85644708785355,"Treat"
"7","N.PD519",92.9303211286915,29.7278577134781,"Ctrl"
"8","N.PD519.sg",88.8730968814047,15.028430904768,"Treat"
