"","miRNA","YRNA","tRNA","rRNA","snoRNA","lincRNA","protein_coding","other"
"1",0.597086972762702,0.315901667184974,0.0171140650949826,0.0460668899097303,0.00168454876890493,0.000718211472977143,0.0063744777076743,0.0150531670980547
"2",0.522308262235899,0.416342690069173,0.00783413290735826,0.0342254635483062,0.00102344060207728,0.000483352620634887,0.00466185071889825,0.0131208072976531
"3",0.820874466825897,0.097305573011916,0.00513296949481026,0.0571889911751657,0.000954814055559375,0.00112697907599798,0.00708541676993903,0.0103307895907145
"4",0.771225403855334,0.0924580784860329,0.00614766266781815,0.0938724897706503,0.00752747347803501,0.00188712857676559,0.010644789191934,0.0162369739734296
"5",0.809077536702631,0.12398316573327,0.00952471745858508,0.0404088654267625,0.00116650352138409,0.0009444809565076,0.00425939417173066,0.010635336029129
"6",0.676571028026564,0.173292393816121,0.00994986745352291,0.0993629546068732,0.00693528833898367,0.00327005192085612,0.0133117299141492,0.0173066859229294
"7",0.663721235842875,0.241927405978057,0.00953698192975831,0.0549131831906456,0.002694279196303,0.00131058701386905,0.0106226526387281,0.0152736742097641
"8",0.596613661243532,0.270534373712017,0.0446526712939063,0.0679025234003795,0.000931577574584469,0.0008415484875273,0.00519391211820244,0.013329732169851
"9",0.777205193977529,0.122338731116686,0.00714898098946332,0.0659073289926875,0.0044218965009257,0.00122332143221649,0.0065069146039545,0.015247632386538
"10",0.806537353103675,0.0810237668945526,0.0077852583694237,0.0731848004782184,0.00530770375701035,0.0029739325706309,0.00896298190929939,0.0142242029171899
"11",0.712858582025675,0.187953742396045,0.0117000908017296,0.0665361309627587,0.00242584985606624,0.000826761186717861,0.00727818068360843,0.0104206620873984
"12",0.736768927634195,0.128996771713428,0.0135495176260768,0.0864956217207036,0.00888220113873385,0.00200627560041042,0.00945078186896476,0.0138499026974876
"13",0.789209213817918,0.150354732755792,0.0100154079926675,0.0367462115103365,0.000659339537096412,0.000841035556677031,0.00421134778873391,0.00796271104077778
"14",0.788780213315066,0.109865855331856,0.0110137747047144,0.0686665879049753,0.00191784221967331,0.000989238898363301,0.00650424575673871,0.0122622418686127
"15",0.885827898099193,0.0341166143257766,0.00507108419877527,0.0466012669217606,0.000769228020593602,0.00156155256045372,0.00417316817285145,0.021879187700596
"16",0.705110612506482,0.221515384331158,0.0135488375589439,0.041468700667765,0.00197207899018547,0.000880797393665343,0.00479628773139566,0.0107073008204042
"17",0.718053712620238,0.220090580403045,0.0118064200549514,0.0349257275193284,0.00133066323807144,0.000544068542367629,0.00393320423603887,0.00931562338595932
"18",0.838809098104536,0.105516561506822,0.0176471322274838,0.0228062045790163,0.00101477936543547,0.000564936587165567,0.00331829646966914,0.010322991159872
"19",0.787777242823777,0.114043514904548,0.00871249850531402,0.0709780075652787,0.00288203014080059,0.000940131432888146,0.00539283372094907,0.00927374090644479
"20",0.804541808468645,0.091339588623125,0.00707437402650052,0.0732231634198903,0.00262178078392046,0.00139207091343589,0.00699369359037276,0.0128135201741097
"21",0.747277833839782,0.160953421423314,0.0122369672110493,0.0586615841024837,0.00180714761314165,0.00180332170565288,0.0059436132477192,0.0113161108568568
"22",0.865918505578153,0.0880324785379175,0.00415198196449111,0.0290672764575224,0.00102188124730761,0.000832982449522557,0.00342263622028964,0.0075522575447959
"23",0.491105474341233,0.449571491068333,0.00989117188199642,0.0343039840621628,0.000992758645706713,0.000520655706233834,0.0035461978736685,0.010068266420666
"24",0.898442244059494,0.0366168437062818,0.00772065626489781,0.0380553447568733,0.000566488877273737,0.000923594028494096,0.00405169574276504,0.0136231325639201
"25",0.80103599262633,0.128341604053119,0.00812695188320491,0.0421446023056714,0.00319091167191168,0.00107422054630737,0.00484662846540493,0.0112390884480504
"26",0.82227713500514,0.109837133193184,0.00831514098418865,0.0454116887815348,0.00112683549410434,0.000535867688214384,0.00415531062551685,0.00834088822811632
"27",0.875401044211752,0.0687381443461595,0.00601857611334247,0.0335333729373269,0.00180924761614194,0.000859899020571968,0.00346630547442154,0.0101734102802837
"28",0.550272082658554,0.388031212445205,0.00328376048850563,0.0445308692036841,0.000792099622506057,0.000565778377629389,0.00398775560016461,0.00853644160375142
"29",0.770218146756806,0.189455617914474,0.0108737404852751,0.012613009587243,0.00064637833706368,0.000815807190414897,0.00233637131833587,0.0130409284103877
"30",0.387494811035786,0.578725096184469,0.0056577976409333,0.0158016948792845,0.00041739356225505,0.000197351372019783,0.00211120072393256,0.00959465460131975
"31",0.915123333786406,0.0567792744870105,0.00418085234801909,0.0136680875771112,0.00034068718873595,0.000798014590753758,0.00308438002875134,0.00602536999321206
"32",0.84094044955784,0.0742234701709169,0.00569649286508765,0.0607673906002952,0.00198680090715205,0.00113470161224553,0.00637842153382581,0.00887227275263657
"33",0.6118858225554,0.28773786967625,0.0158350770244666,0.0656637284784579,0.00305313452508444,0.000758052557871324,0.00519779223988796,0.00986852294258176
"34",0.684288534665495,0.225336157262375,0.0174657646497306,0.0502919192495186,0.000996786486089665,0.000942906135490224,0.0077902006908359,0.0128877308604647
"35",0.49667950660373,0.367862037090032,0.00735344671498111,0.104829608959663,0.000506020227850389,0.000780853195279712,0.00601608825755899,0.0159724389509048
"36",0.415018485179284,0.551631864767676,0.00652695171001861,0.0154083208370396,0.000548862791608092,0.00020286309724217,0.00177913128079553,0.00888352033633549
