"","group","depth","map","useful"
"1","Normal",15860182,0.788315311933493,0.881478913671987
"2","Normal",15037496,0.798397501915938,0.924649689017374
"3","Normal",7588851,0.780336933070278,0.822257941287818
"4","Normal",9703164,0.763242533483792,0.868078185630996
"5","Normal",9018049,0.782570079664892,0.919278770829478
"6","Normal",7607008,0.661580472062913,0.861963731338261
"7","Normal",6498882,0.714126654136838,0.817717878244289
"8","Normal",8501363,0.665249914654883,0.764592571802898
"9","Normal",12888338,0.551567453268377,0.680296016445255
"10","Normal",15043915,0.747454666092062,0.836928818063649
"11","Normal",19435598,0.750719159313532,0.859966335998512
"12","Normal",11512063,0.765376763626443,0.843780128722367
"13","Normal",16718319,0.787883784085123,0.79559440156633
"14","Normal",47642424,0.793080317746939,0.80703202674994
"15","Normal",11805081,0.796729167392578,0.892220138091386
"16","Normal",15204955,0.760199240531908,0.891781001653737
"17","Normal",13432467,0.795531242937746,0.862423410383216
"18","Normal",18061546,0.82595415569966,0.928807257141775
"19","Normal",18055012,0.689863537868957,0.872298007888336
"20","Normal",13746637,0.806379604723894,0.875676792803942
"21","Normal",9886803,0.731456895559623,0.871849879076179
"22","Normal",11051211,0.503895462701487,0.832447140860852
"23","Normal",9964473,0.746943473891903,0.89554269453086
"24","Normal",9852523,0.733134545396707,0.842318358454987
"25","Normal",11525773,0.805735626106139,0.883100682270942
"26","Normal",11800235,0.760034721980173,0.814492507988188
"27","Normal",10856403,0.734034586376306,0.863206717731462
"28","Normal",17193058,0.499391623121636,0.684378253129839
"29","Normal",7805859,0.661108138814038,0.878062619373473
"30","Normal",8048860,0.642380110366864,0.779217181066636
"31","Normal",28142287,0.783404027938543,0.832509063673468
"32","Normal",20019838,0.756866734486267,0.805899578208375
"33","Normal",15704300,0.716765687210239,0.780779595397439
"34","Normal",16614244,0.652764903096152,0.936366349260309
"35","Normal",22075705,0.605602688226668,0.938951394757268
"36","Normal",13020926,0.554053951507559,0.799526162732205
"37","Normal",6584376,0.440574201953133,0.766755574104517
"38","Normal",7807373,0.557546819906965,0.927222895588567
"39","Normal",6972909,0.415951575430981,0.891665874314436
"40","Normal",6680452,0.568396472321732,0.913093305662551
"41","Normal",12111644,0.580712366147401,0.918130354557977
"42","Normal",18833516,0.602000255076532,0.886763257588227
"43","Normal",9737225,0.54899574639823,0.797498157842712
"44","Normal",12956845,0.543691763964287,0.917792255753619
"45","Normal",12645507,0.6123505771962,0.888992272116887
"46","Normal",7959846,0.650591539714756,0.924888999108777
"47","Normal",12914263,0.576837318552719,0.91751530846166
"48","Normal",25010612,0.842100182228623,0.941823214881747
"49","Normal",15352106,0.556981320397498,0.933235153535287
"50","Normal",27968214,0.667248223623274,0.947836640552021
"51","Normal",39766079,0.69528311676007,0.96186609195239
"52","Normal",37959405,0.489058220086967,0.823389644806076
"53","Normal",18095851,0.429227522020804,0.803881840096937
"54","Normal",13692458,0.60929938195615,0.925490514559183
"55","Normal",19274944,0.610630466105857,0.892603890314805
"56","Normal",26654516,0.717164030443535,0.953720712842807
"57","Normal",32479993,0.658542082925809,0.898785661684102
"58","Normal",21089450,0.664276283959639,0.908622225804846
"59","Normal",33239212,0.64241042654449,0.93567904076667
"60","Normal",8899421,0.678167936442994,0.937632122359421
"61","PD",16640138,0.467716526212739,0.595320423424373
"62","PD",30089690,0.628526108905574,0.602351901930528
"63","PD",14245978,0.705630683283747,0.790290143646158
"64","PD",17278902,0.743763696627692,0.808851627261964
"65","PD",11494540,0.723726212542358,0.676435594638846
"66","PD",8744001,0.654819941448145,0.6114331414189
"67","PD",23609899,0.757218593578577,0.848060934102259
"68","PD",12604726,0.62233742585031,0.714515730052363
"69","PD",20558300,0.751230832711303,0.82767120822247
"70","PD",14764260,0.728880901534089,0.743131521661092
"71","PD",52948733,0.713805813282394,0.819368860063186
"72","PD",12788036,0.756503362636661,0.780798005260542
"73","PD",11579994,0.716405706044142,0.822798526493192
"74","PD",21498240,0.735047180729947,0.777484901089578
"75","PD",27613226,0.733747319647051,0.782732086428438
"76","PD",10270695,0.755702838672402,0.73136335953896
"77","PD",13050118,0.570071956992971,0.76550993638525
