adipocyte.1.	arachnoid_mater.1.	artery.1.	colon.1.	small_intestine.1.	dura_mater.1.	brain.1.	bladder.1.	skin.1.	myocardium.1.	bone.1.	liver.1.	lung.1.	stomach.1.	spleen.1.	muscle.1.	gallbladder.1.	fascia.1.	epididymis.1.	nerve.nervus_intercostalis..1.	kidney.1.	thyroid.1.	testis.1.	tunica_albuginea.1.	myocardium.2.	lung.2.	liver.2.	kidney.2.	colon.2.	muscle.2.	small_intestine.duodenum..2.	pancreas.2.	small_intestine.jejunum..2.	kidney.glandula_suprarenalis..2.	brain.thalamus..2.	bone.marrow..2.	spinal_cord.2.	pleura.2.	brain.pituitary_gland..2.	kidney.cortex_renalis..2.	stomach.2.	nerve.not_specified..2.	esophagus.2.	prostate.2.	adipocyte.2.	skin.2.	spleen.2.	brain.white_matter..2.	brain.nucleus_caudatus..2.	kidney.medulla_renalis..2.	thyroid.2.	brain.gray_matter..2.	lymph_node.2.	brain.cerebral_cortex._temporal..2.	brain.cerebral_cortex._frontal..2.	dura_mater.2.	artery.2.	brain.cerebral_cortex._occipital..2.	vein.2.	brain.cerebellum..2.	testis.2.
hsa-miR-495-3p	15.0950665147541	10.7955855185246	6.93720053770492	11.4238471295082	6.27613546557377	7.4310388704918	132.737465229508	6.08447421639344	19.8046483606557	10.4035840819672	65.1249163278688	6.72065729491803	6.76465093278689	5.76794623721312	24.7428834934426	30.071151644918	11.3580669721311	11.9286694704918	31.8399261573771	7.24381602131148	4.48639559459016	17.3296530770492	11.6861051901639	16.6389431491803	7.4310388704918	7.92819344377049	7.41862312295082	7.84595030163934	12.0915659936066	10.3675384032787	7.77635326885246	7.63984541770492	9.71921699508197	22.758098494918	105.339749819672	4.88099348901639	78.5028885901639	9.87746002065574	264.77304604918	8.08790370819672	9.25278545737705	9.41492598688525	11.0271975704918	14.7939014983607	7.83155301311475	10.9931238196721	11.100373	44.0034971491803	199.382966213115	6.84849760655738	7.65497809344262	137.559254147541	3.48625456688525	130.85604504918	134.980343918033	105.339749819672	11.9675554327869	117.533641163934	9.84953416013115	180.026183754098	22.9108951016393
hsa-miR-1976	26.4568269180328	3.2196135295082	7.79280327819672	5.83353203606557	4.77140196737705	6.65593937081967	4.61534297786885	6.65593937081967	14.1089520491803	9.18103270491803	29.072283395082	44.6230191180328	6.38520999540984	6.91921154278689	79.9539805737705	17.4922842786885	8.19586554655738	6.68604671803279	5.83353203606557	6.22990683442623	8.41658044754098	23.6074107409836	9.66614965901639	8.28421841967213	5.62177306885246	5.5034599704918	8.67623874590164	5.87369858262295	6.11051787540984	4.70449448442623	5.89873259180328	5.75667078672131	7.12161604688525	7.2963442295082	6.61574808163934	7.51125377278689	4.66306582934426	5.9373881695082	7.47414340622951	6.44022822786885	9.69711034098361	6.61574808163934	6.72065729491803	5.46376152786885	4.92791305803279	6.32202050163934	11.3940562131148	3.73298897704918	5.46376152786885	8.18065700486885	4.91699446770492	3.98183194737705	9.49522520213115	5.5990225595082	5.54138706819672	4.43027750916393	8.07055271147541	5.48990371672131	8.35085795770492	3.04789447622951	6.1218779557377
hsa-miR-1973	150.692261459016	1131.40557145902	12.1595805786885	932.905373098361	46.944159495082	56.0187848196721	236.030581786885	24.7428834934426	63.5160221295082	1390.06068621311	22.6581967213115	601.478166868852	373.205279655738	78.5028885901639	108.305951590164	5.6634444404918	9.22294841967213	61.9585806557377	48.8357721540984	441.491879	29.4023514180328	59.4763055540984	42.7703263862295	27.2369691639344	486.456364737705	103.787991819672	128.713244360656	129.92070752459	127.878642983607	630.279305393443	73.8815639409836	163.349506868852	93.5519971639344	187.158564901639	932.905373098361	72.941567857377	281.520118344262	107.52616757377	458.299634245902	144.653727032787	29.072283395082	156.598769983607	201.161359327869	191.841475721311	768.750037032787	259.868416213115	54.013790975082	224.218865885246	1191.67471244262	113.287801934426	310.990262770492	864.523117360656	314.400721622951	466.476648508197	768.750037032787	310.990262770492	121.874189983607	474.139674245902	72.4002184065574	466.476648508197	185.132955885246
hsa-miR-548am-5p	42.5266969745902	15.9866511770492	18.6755770327869	9.10266983114754	9.18103270491803	16.0366105163934	11.4238471295082	9.46130990327869	26.4568269180328	14.1089520491803	61.0910812852459	18.2812695557377	8.99703177639344	10.0018206065574	13.7081902459016	108.305951590164	13.6161537032787	24.554053547541	8.77111102393443	16.885533757377	9.41492598688525	32.388496004918	9.59321892459016	18.8231071688525	11.2050051639344	18.9864792688525	30.5350362918033	19.8046483606557	13.0220415918033	8.85035542459016	14.5086353098361	11.7282346183607	16.298600152459	11.8375223098361	7.63984541770492	11.3580669721311	5.92640054508197	12.8397702967213	6.68604671803279	15.4409987639344	23.4221255213115	9.10266983114754	8.63752520327869	6.19224348639344	7.75983887540984	7.88292599032787	39.0021625796721	7.54422266065574	6.44022822786885	22.439088395082	9.82528617704918	7.2702021704918	22.8327866540984	7.58704030491803	8.9447000952459	13.8186178491803	9.13177659180328	6.89151526672131	7.04564299229508	6.38520999540984	7.54422266065574
hsa-miR-181c-3p	3.86953990885246	15.494286242623	8.24165662655738	6.39993415081967	9.02099460491803	5.36584136655738	30.2967975672131	8.46881727377049	3.03454438032787	4.48639559459016	3.80595832295082	4.00155658409836	4.10984304704918	4.07821532327869	5.22072678278689	4.65390690098361	2.36123279016393	5.01339209393443	3.99142249737705	7.7263613747541	5.05441567311475	4.5540982225082	3.04789447622951	3.68973041885246	8.08790370819672	7.40263048409836	7.63984541770492	8.19586554655738	6.19224348639344	8.77111102393443	8.22647402786885	8.46881727377049	8.05250212655738	7.81167834344262	16.885533757377	18.6088083819672	19.7374193508197	14.8459100196721	9.77510200327869	6.46872226983607	8.19586554655738	6.46872226983607	6.73365499344262	14.2159335855738	8.7241241552459	5.5034599704918	12.5131939409836	10.9624380934426	13.1199282196721	6.99136207868852	10.6331568565574	18.0642019245902	7.79280327819672	18.4025575245902	19.0537294918033	17.3296530770492	17.1661873852459	17.2781067377049	23.714425852459	17.605944995082	8.48722302786885
hsa-miR-1914-3p	133.933932770492	322.413260803279	314.400721622951	326.476528016393	389.912160803279	395.387109163934	114.924263819672	326.476528016393	122.671803196721	175.329682934426	138.452984081967	293.92162195082	229.153527688525	416.742165885246	249.28416752459	185.132955885246	318.109628836066	422.317365885246	203.655448016393	344.863021786885	568.357576377049	106.834169081967	249.28416752459	389.912160803279	249.28416752459	558.239953426229	422.317365885246	480.497799819672	474.139674245902	121.874189983607	672.886278016393	337.596368180328	486.456364737705	389.912160803279	175.329682934426	547.839869819672	154.179429327869	492.603768016393	216.937662934426	466.476648508197	411.412216377049	333.510855885246	446.441780967213	239.996995885246	304.27172752459	1131.40557145902	601.478166868852	291.160951295082	120.94869795082	531.300427196721	251.584953262295	170.85164195082	344.863021786885	176.731601786885	154.179429327869	191.841475721311	274.671171459016	193.795198836066	293.92162195082	149.72213604918	293.92162195082
hsa-miR-4633-5p	11.100373	42.5266969745902	39.35056991	10.1464821557377	24.4693528032787	10.4260985901639	25.9709705081967	23.0099416704918	5.40068699344262	26.361246342623	18.0005267372131	29.4023514180328	8.07055271147541	17.605944995082	16.4782675573771	46.7456632447541	5.43264189190164	16.3590456721311	7.41862312295082	58.3266395081967	8.59405158196721	7.62276733934426	6.37224472180328	6.89151526672131	19.7374193508197	9.93429635737705	12.724793404918	10.906981052459	41.1654978852459	114.924263819672	10.9624380934426	11.6861051901639	26.7161884852459	7.7263613747541	70.4609421855738	14.4448125885246	56.708582295082	21.2577411557377	29.9721731737705	11.5070084868852	14.7431820131148	24.0843313	46.3400880295082	32.1869532213115	17.1199973967213	15.4409987639344	10.4260985901639	54.5376147540984	102.604254377049	14.376321642623	20.9705607196721	61.9585806557377	8.46881727377049	92.8948620819672	87.7650458688525	57.9996604098361	32.8696831557377	43.7934859344262	28.2099854921311	40.7344089770492	24.281148752459
hsa-miR-329-3p	23.714425852459	7.51125377278689	7.7071805704918	8.44831526721311	5.76794623721312	7.7263613747541	65.4626979657377	7.7071805704918	15.494286242623	7.20971822196721	32.5579293229508	17.2165807622951	6.54277628688525	6.33900560803279	37.4057299836066	29.550665257377	9.46130990327869	13.3516342131148	9.3455995442623	8.19586554655738	6.74915135901639	22.439088395082	8.65515747540984	16.1863753347541	5.31255668563934	5.11657301581967	6.58199197737705	4.30661760645902	6.54277628688525	7.51125377278689	5.6105298295082	5.77724514409836	5.6955659995082	8.02626215590164	41.6078172786885	6.45582134409836	25.3313663245902	5.82120099016393	40.7344089770492	4.84819525540984	5.62177306885246	7.15652379409836	7.01930765901639	5.6955659995082	6.54277628688525	7.9759398197541	6.65593937081967	17.6682874245902	52.1691540442623	4.71599209081967	5.10539584432787	36.9792823721311	4.38858414803279	39.1673459645902	37.9722704196721	30.8145195918033	6.15187987934426	33.3730448631148	5.37778117213115	34.4655926245902	8.19586554655738
hsa-miR-1972	6.27613546557377	49.9200994508197	14.0653899737705	53.3824425030984	92.2356695081967	47.4828297442623	125.577697114754	70.9163979016394	40.513118704918	269.556600803279	5.56456059344262	92.2356695081967	166.568888016393	193.795198836066	416.742165885246	7.63984541770492	110.026410360656	9.90827775081967	277.860619983607	28.5732374819672	201.161359327869	75.4417062295082	173.774278344262	97.8627827540984	164.906118672131	155.368847688525	175.329682934426	166.568888016393	154.179429327869	229.153527688525	118.429697180328	181.431186704918	134.980343918033	190.593257032787	216.937662934426	103.212595804426	158.021674737705	132.737465229508	88.4662804590164	178.446889754098	209.365258180328	81.7661429704918	138.452984081967	146.944798508197	113.287801934426	65.8497625393443	162.140642770492	172.29886604918	203.655448016393	190.593257032787	140.871828016393	146.944798508197	272.03913752459	205.739088672131	193.795198836066	115.726219327869	75.4417062295082	254.547849655738	70.0519938639344	304.27172752459	109.229358901639
hsa-miR-509-3p	5.74335109065574	2.86539177704918	3.29230371803279	2.48974054114754	3.44157721967213	3.23073064737705	3.99142249737705	2.82252318868852	5.44562885868852	2.97908527704918	5.70671836819672	3.20693640836066	3.2196135295082	2.21708854918033	4.30661760645902	6.4842352304918	3.2677618557377	3.14123799327869	3.74687879295082	2.66227988114754	3.63910503721311	3.71292507	149.72213604918	51.5247980542623	3.99142249737705	5.18568178737705	5.12814844180328	13.0220415918033	6.45582134409836	2.08482589180328	5.9122135704918	6.1218779557377	6.67244500590164	5.57539585081967	3.40279243770492	2.23704646721311	2.47059280327869	3.2677618557377	41.8438604557377	9.69711034098361	6.35219066573771	5.38925239442623	2.60640676655738	3.34332291147541	2.52598367540984	2.7948976752459	6.58199197737705	2.66227988114754	3.5637645395082	10.9931238196721	2.80842781737705	2.64274434590164	6.09820210819672	3.08490001540984	2.64274434590164	4.00155658409836	2.66227988114754	2.95319644803279	2.32072278032787	4.60565307311475	131.514950639344
